the_geom,the_geom_webmercator,collection_date,count,test_result,etl_timestamp,objectid
,,2021-05-18,6885,negative,2023-09-25 15:00:01.711959,54019
,,2023-02-20,971,negative,2023-09-25 15:00:01.711959,54020
,,2021-01-07,690,positive,2023-09-25 15:00:01.711959,54021
,,2023-04-18,649,negative,2023-09-25 15:00:01.711959,54022
,,2020-10-29,6455,negative,2023-09-25 15:00:01.711959,54023
,,2021-03-21,319,positive,2023-09-25 15:00:01.711959,54024
,,2022-12-16,268,positive,2023-09-25 15:00:01.711959,54025
,,2021-02-15,327,positive,2023-09-25 15:00:01.711959,54026
,,2023-07-26,37,positive,2023-09-25 15:00:01.711959,54027
,,2021-06-12,2134,negative,2023-09-25 15:00:01.711959,54028
,,2023-03-19,668,negative,2023-09-25 15:00:01.711959,54029
,,2020-06-08,1843,negative,2023-09-25 15:00:01.711959,54030
,,2021-10-17,145,positive,2023-09-25 15:00:01.711959,54031
,,2022-11-08,191,positive,2023-09-25 15:00:01.711959,54032
,,2023-08-07,164,negative,2023-09-25 15:00:01.711959,54033
,,2022-03-07,5235,negative,2023-09-25 15:00:01.711959,54034
,,2022-07-10,1205,negative,2023-09-25 15:00:01.711959,54035
,,2021-07-20,99,positive,2023-09-25 15:00:01.711959,54036
,,2022-08-13,187,positive,2023-09-25 15:00:01.711959,54037
,,2022-03-27,1252,negative,2023-09-25 15:00:01.711959,54038
,,2020-05-13,288,positive,2023-09-25 15:00:01.711959,54039
,,2021-11-24,7622,negative,2023-09-25 15:00:01.711959,54040
,,2020-09-19,3773,negative,2023-09-25 15:00:01.711959,54041
,,2022-12-07,259,positive,2023-09-25 15:00:01.711959,54042
,,2023-04-27,573,negative,2023-09-25 15:00:01.711959,54043
,,2021-03-10,311,positive,2023-09-25 15:00:01.711959,54044
,,2020-11-09,5227,negative,2023-09-25 15:00:01.711959,54045
,,2022-01-29,118,positive,2023-09-25 15:00:01.711959,54046
,,2022-06-09,379,positive,2023-09-25 15:00:01.711959,54047
,,2020-07-15,177,positive,2023-09-25 15:00:01.711959,54048
,,2022-10-06,1750,negative,2023-09-25 15:00:01.711959,54049
,,2020-03-12,71,negative,2023-09-25 15:00:01.711959,54050
,,2023-09-07,125,positive,2023-09-25 15:00:01.711959,54051
,,2021-09-20,10872,negative,2023-09-25 15:00:01.711959,54052
,,2023-01-31,265,positive,2023-09-25 15:00:01.711959,54053
,,2020-12-18,8286,negative,2023-09-25 15:00:01.711959,54054
,,2021-05-06,273,positive,2023-09-25 15:00:01.711959,54055
,,2023-06-07,123,negative,2023-09-25 15:00:01.711959,54056
,,2022-05-04,3308,negative,2023-09-25 15:00:01.711959,54057
,,2022-01-01,1979,negative,2023-09-25 15:00:01.711959,54058
,,2020-04-17,472,positive,2023-09-25 15:00:01.711959,54059
,,2022-09-08,264,positive,2023-09-25 15:00:01.711959,54060
,,2020-08-12,4629,negative,2023-09-25 15:00:01.711959,54061
,,2021-08-15,211,positive,2023-09-25 15:00:01.711959,54062
,,2023-05-03,15,positive,2023-09-25 15:00:01.711959,54063
,,2021-04-05,9948,negative,2023-09-25 15:00:01.711959,54064
,,2023-01-02,1041,negative,2023-09-25 15:00:01.711959,54065
,,2020-11-15,514,positive,2023-09-25 15:00:01.711959,54066
,,2021-10-11,277,positive,2023-09-25 15:00:01.711959,54067
,,2022-06-14,2356,negative,2023-09-25 15:00:01.711959,54068
,,2023-09-02,114,negative,2023-09-25 15:00:01.711959,54069
,,2020-07-04,1513,negative,2023-09-25 15:00:01.711959,54070
,,2022-11-02,243,positive,2023-09-25 15:00:01.711959,54071
,,2022-02-09,7778,negative,2023-09-25 15:00:01.711959,54072
,,2020-09-22,4032,negative,2023-09-25 15:00:01.711959,54073
,,2021-07-23,130,positive,2023-09-25 15:00:01.711959,54074
,,2021-11-21,2795,negative,2023-09-25 15:00:01.711959,54075
,,2022-08-14,198,positive,2023-09-25 15:00:01.711959,54076
,,2022-03-26,1560,negative,2023-09-25 15:00:01.711959,54077
,,2020-05-10,78,positive,2023-09-25 15:00:01.711959,54078
,,2022-11-11,144,positive,2023-09-25 15:00:01.711959,54079
,,2020-06-09,2321,negative,2023-09-25 15:00:01.711959,54080
,,2023-08-10,145,negative,2023-09-25 15:00:01.711959,54081
,,2022-07-07,2294,negative,2023-09-25 15:00:01.711959,54082
,,2021-10-18,268,positive,2023-09-25 15:00:01.711959,54083
,,2022-03-06,1501,negative,2023-09-25 15:00:01.711959,54084
,,2022-11-14,1918,negative,2023-09-25 15:00:01.711959,54085
,,2023-08-13,40,positive,2023-09-25 15:00:01.711959,54086
,,2020-06-22,130,positive,2023-09-25 15:00:01.711959,54087
,,2022-07-04,160,positive,2023-09-25 15:00:01.711959,54088
,,2022-02-21,109,positive,2023-09-25 15:00:01.711959,54089
,,2021-10-31,2089,negative,2023-09-25 15:00:01.711959,54090
,,2022-10-21,151,positive,2023-09-25 15:00:01.711959,54091
,,2022-02-13,1435,negative,2023-09-25 15:00:01.711959,54092
,,2020-06-30,2719,negative,2023-09-25 15:00:01.711959,54093
,,2023-08-21,128,negative,2023-09-25 15:00:01.711959,54094
,,2022-06-26,1274,negative,2023-09-25 15:00:01.711959,54095
,,2021-10-07,329,positive,2023-09-25 15:00:01.711959,54096
,,2021-01-21,9572,negative,2023-09-25 15:00:01.711959,54097
,,2023-07-03,86,negative,2023-09-25 15:00:01.711959,54098
,,2023-03-10,68,positive,2023-09-25 15:00:01.711959,54099
,,2021-06-05,42,positive,2023-09-25 15:00:01.711959,54100
,,2023-09-17,128,negative,2023-09-25 15:00:01.711959,54101
,,2022-01-27,6907,negative,2023-09-25 15:00:01.711959,54102
,,2022-05-30,1161,negative,2023-09-25 15:00:01.711959,54103
,,2021-09-22,350,positive,2023-09-25 15:00:01.711959,54104
,,2022-10-16,118,positive,2023-09-25 15:00:01.711959,54105
,,2020-07-17,3730,negative,2023-09-25 15:00:01.711959,54106
,,2022-09-11,1013,negative,2023-09-25 15:00:01.711959,54107
,,2021-12-19,547,positive,2023-09-25 15:00:01.711959,54108
,,2021-08-28,3202,negative,2023-09-25 15:00:01.711959,54109
