OBJECTID,GEOID10,NAME10,N_VERYHIGH,YEAR,HSI_SCORE,HEI_SCORE,HVI_SCORE,Shape__Area,Shape__Length
331,42101008801,88.01,0,2023,-5.18433448,,-3.14957241,314820.7578125,2387.22420851149
332,42101012201,122.01,0,2023,1.9515428,0.30130839,1.0881402,615149.4765625,3789.43896826913
333,42101009801,98.01,0,2023,0.75861822,-1.3477514,0.45812621,512451.57421875,3149.00798030556
334,42101007101,71.01,1,2023,8.63184645,2.54043708,5.87833651,431291.5625,2926.10007229706
335,42101002801,28.01,0,2023,-2.61251474,0.24916975,-1.38189265,379603.609375,2860.60987392366
336,42101980500,9805,0,2023,,,,709270.92578125,3490.59849335105
337,42101037300,373,0,2023,-7.66934173,-0.25536765,-5.48451964,4653971.06640625,12061.8020505058
338,42101037200,372,0,2023,-2.81900072,1.41645485,-1.77485997,1750189.07421875,6662.076320844
339,42101980600,9806,0,2023,,,,2189298.25390625,8458.21056789403
340,42101033701,337.01,0,2023,-0.67434969,3.0264368,-0.52735066,1656157.01953125,7179.84929826247
341,42101026000,260,0,2023,2.26048281,-0.40494493,1.41248875,928152.04296875,3862.60497692288
342,42101026100,261,0,2023,5.51867327,0.99473986,3.51319449,1110098.0390625,4312.54335481492
343,42101026200,262,0,2023,3.47225032,-0.0800984,2.23933569,950337.3984375,4755.66576890554
344,42101034801,348.01,0,2023,-6.86701154,0.29597826,-4.8694087,2376134.45703125,8188.05893049327
345,42101026302,263.02,0,2023,3.88585918,0.25813945,2.84985773,1204273.2734375,4580.78189193406
346,42101026400,264,0,2023,4.01935714,0.3703008,2.70495004,1362116.4453125,5033.23880759022
347,42101026500,265,0,2023,3.98032661,0.5248464,2.84818734,932628.34375,3981.541233543
348,42101026600,266,0,2023,4.70579602,0.15194874,3.1751648,1557850.97265625,5081.2016549492
349,42101026700,267,1,2023,6.34344383,1.0079473,4.6345838,1100294.2578125,4201.87980163876
350,42101026800,268,0,2023,4.21751169,0.33247314,2.83833464,1329179,6016.86450688176
351,42101029900,299,0,2023,4.19712004,0.25887754,2.86623005,1009558.1796875,4468.08872994291
352,42101030000,300,0,2023,4.25037041,0.4908422,2.95802237,1554852.74609375,5738.8199847267
353,42101030100,301,0,2023,2.67608815,-0.35642963,1.8109598,1237862.3515625,4587.09695015674
354,42101030200,302,0,2023,1.10627259,-0.10889848,0.89625276,1539539.21875,5094.45499376396
355,42101030600,306,0,2023,-1.81426704,0.54919599,-1.26995808,1725151.4375,6038.19026941177
356,42101038300,383,0,2023,3.50974947,0.84469134,2.82279857,5229794.078125,10958.273449528
357,42101039000,390,0,2023,2.43205327,0.64113892,2.01400552,3472212.33984375,8761.97440778703
358,42101037800,378,0,2023,-7.23432864,-0.70063602,-5.04948386,9566825.453125,16775.7625099223
359,42101037700,377,0,2023,-0.50116536,-1.20614789,-0.267411,1256541.9375,4578.10785546555
360,42101028000,280,1,2023,6.74160556,0.97494354,4.67267892,1226439.47265625,4682.82823506721
361,42101028100,281,0,2023,3.30038445,0.27904367,2.36298396,859869.59375,4416.10232550417
362,42101028200,282,0,2023,6.15299483,-0.20215323,4.400811,1465561.8125,5665.63020949211
363,42101031800,318,0,2023,2.14373603,0.08954196,1.60243303,792655.8984375,4143.00731370078
364,42101031900,319,0,2023,-1.82506504,-0.09295981,-1.45546143,1320159.0390625,4788.75857012546
365,42101032000,320,0,2023,-4.89458478,-0.23702033,-3.24581531,1163651.73046875,4878.9574243384
366,42101032100,321,0,2023,-0.44003523,-0.86113291,-0.41584522,943227.5,3853.15264945592
367,42101032300,323,0,2023,-2.80905431,-0.79505472,-2.10372082,1023805.48828125,4239.28734696538
368,42101032500,325,0,2023,-1.63124814,0.31226459,-1.30020922,1433070.57421875,5588.38866312885
369,42101032600,326,0,2023,-3.82694817,-0.85373864,-2.60636773,1382958.30859375,5405.69498067082
370,42101989100,9891,0,2023,7.01296077,0,3.94959278,7015885.8203125,12280.1211725655
371,42101032900,329,0,2023,-3.09075039,0.29129226,-2.32715135,1615483.6875,5774.13393074302
372,42101033000,330,0,2023,-3.3247929,-0.02542688,-2.11339582,1249533.48046875,4887.0126053164
373,42101033200,332,0,2023,-5.99786498,-0.32025262,-4.23379948,1448591.5078125,5518.23925581688
374,42101980300,9803,0,2023,,,,13031034.2929688,14608.5857270366
375,42101035500,355,0,2023,-1.94240794,1.5941654,-1.54368735,3918887.12890625,8432.52287993729
376,42101035800,358,0,2023,-3.58910523,1.26463302,-2.91564444,3012808.6796875,7094.10307121743
377,42101035900,359,0,2023,-3.34479279,2.03060408,-2.67835416,3847075.28515625,8730.23083361895
378,42101036000,360,0,2023,-1.14982958,2.18912676,-0.56952061,3497020.81640625,8568.25164820294
379,42101036100,361,0,2023,-4.96914581,-0.80554253,-3.71896942,2106613.765625,7264.63568349443
380,42101036203,362.03,0,2023,-8.32378658,-0.77764527,-6.04888368,2627742.24609375,8497.0381436613
381,42101035302,353.02,0,2023,-6.90868044,-0.31725978,-5.04444407,2592388.36328125,7709.4936805598
382,42101036201,362.01,0,2023,-7.38265783,-0.23245011,-5.31892391,1790690.06640625,5822.82648572029
383,42101036302,363.02,0,2023,-6.57890646,-0.68509821,-4.68659382,872665.60546875,4433.35434231809
384,42101036900,369,0,2023,-6.7888631,-2.68695889,-4.45059977,3479009.55859375,9538.73470690457
